timestamp,container_name,cpu_usage
2026-06-10 09:47:02,tenant_a,0.0
2026-06-10 09:47:04,tenant_b,0.0
2026-06-10 09:47:09,tenant_a,0.0
2026-06-10 09:47:11,tenant_b,0.0
2026-06-10 09:47:15,tenant_a,0.0
2026-06-10 09:47:17,tenant_b,0.0
2026-06-10 09:47:21,tenant_a,0.0
2026-06-10 09:47:23,tenant_b,0.0
2026-06-10 09:47:28,tenant_a,0.0
2026-06-10 09:47:30,tenant_b,0.0
2026-06-10 09:47:34,tenant_a,0.0
2026-06-10 09:47:36,tenant_b,0.0
2026-06-10 09:47:40,tenant_a,0.0
2026-06-10 09:47:42,tenant_b,0.0
2026-06-10 09:47:47,tenant_a,0.0
2026-06-10 09:47:49,tenant_b,0.0
2026-06-10 09:47:53,tenant_a,0.0
2026-06-10 09:47:55,tenant_b,0.0
2026-06-10 09:47:59,tenant_a,0.0
2026-06-10 09:48:01,tenant_b,0.0
2026-06-10 09:48:06,tenant_a,0.0
2026-06-10 09:48:08,tenant_b,0.0
2026-06-10 09:48:12,tenant_a,49.2
2026-06-10 09:48:14,tenant_b,0.0
2026-06-10 09:48:19,tenant_a,51.26
2026-06-10 09:48:21,tenant_b,0.0
2026-06-10 09:48:25,tenant_a,99.74
2026-06-10 09:48:27,tenant_b,0.0
2026-06-10 09:48:32,tenant_a,101.31
2026-06-10 09:48:34,tenant_b,0.0
2026-06-10 09:48:38,tenant_a,99.78
2026-06-10 09:48:40,tenant_b,0.0
2026-06-10 09:48:44,tenant_a,0.0
2026-06-10 09:48:46,tenant_b,0.0
2026-06-10 09:48:51,tenant_a,0.0
2026-06-10 09:48:53,tenant_b,0.0
2026-06-10 09:48:57,tenant_a,0.0
2026-06-10 09:48:59,tenant_b,49.5
2026-06-10 09:49:03,tenant_a,0.0
2026-06-10 09:49:05,tenant_b,50.14
2026-06-10 09:49:10,tenant_a,0.0
2026-06-10 09:49:12,tenant_b,99.77
2026-06-10 09:49:16,tenant_a,0.0
2026-06-10 09:49:18,tenant_b,99.78
2026-06-10 09:49:22,tenant_a,0.0
2026-06-10 09:49:24,tenant_b,99.33
2026-06-10 09:49:29,tenant_a,0.0
2026-06-10 09:49:31,tenant_b,0.0
2026-06-10 09:49:35,tenant_a,0.0
2026-06-10 09:49:37,tenant_b,0.0
2026-06-10 10:02:30,tenant_a,0.0
2026-06-10 10:02:32,tenant_b,0.0
2026-06-10 10:02:37,tenant_a,0.0
2026-06-10 10:02:39,tenant_b,0.0
2026-06-10 10:02:43,tenant_a,0.0
2026-06-10 10:02:45,tenant_b,0.0
2026-06-10 10:02:50,tenant_a,0.0
2026-06-10 10:02:52,tenant_b,0.0
2026-06-10 10:02:56,tenant_a,0.0
2026-06-10 10:02:58,tenant_b,0.0
2026-06-10 10:03:02,tenant_a,0.0
2026-06-10 10:03:04,tenant_b,0.0
2026-06-10 10:03:09,tenant_a,0.0
2026-06-10 10:03:11,tenant_b,0.0
2026-06-10 10:03:15,tenant_a,25.58
2026-06-10 10:03:17,tenant_b,0.0
2026-06-10 10:03:21,tenant_a,50.06
2026-06-10 10:03:23,tenant_b,0.0
2026-06-10 10:03:28,tenant_a,101.75
2026-06-10 10:03:30,tenant_b,0.0
2026-06-10 10:03:34,tenant_a,99.64
2026-06-10 10:03:36,tenant_b,0.0
2026-06-10 10:03:40,tenant_a,100.45
2026-06-10 10:03:42,tenant_b,0.0
2026-06-10 10:03:47,tenant_a,99.96
2026-06-10 10:03:49,tenant_b,0.0
2026-06-10 10:03:53,tenant_a,99.77
2026-06-10 10:03:55,tenant_b,0.0
2026-06-10 10:04:00,tenant_a,98.91
2026-06-10 10:04:02,tenant_b,0.0
2026-06-10 10:04:06,tenant_a,99.81
2026-06-10 10:04:08,tenant_b,49.37
2026-06-10 10:04:12,tenant_a,99.05
2026-06-10 10:04:14,tenant_b,49.7
2026-06-10 10:04:19,tenant_a,0.0
2026-06-10 10:04:21,tenant_b,49.41
2026-06-10 10:04:25,tenant_a,0.0
2026-06-10 10:04:27,tenant_b,49.26
2026-06-10 10:04:31,tenant_a,0.0
2026-06-10 10:04:33,tenant_b,51.16
2026-06-10 10:04:38,tenant_a,0.0
2026-06-10 10:04:40,tenant_b,99.78
2026-06-10 10:04:44,tenant_a,0.0
2026-06-10 10:04:46,tenant_b,101.14
2026-06-10 10:04:50,tenant_a,0.0
2026-06-10 10:04:52,tenant_b,98.96
2026-06-10 10:04:57,tenant_a,0.0
2026-06-10 10:04:59,tenant_b,99.58
2026-06-10 10:05:03,tenant_a,0.0
2026-06-10 10:05:05,tenant_b,100.49
2026-06-10 10:05:10,tenant_a,0.0
2026-06-10 10:05:12,tenant_b,0.0
